,year,survival
low,0.3,0.992
low,0.4,0.989
low,0.5,0.986
low,0.6,0.983
low,0.7,0.981
low,0.8,0.978
low,0.9,0.976
low,1,0.973
low,1.1,0.971
low,1.2,0.969
low,1.3,0.966
low,1.4,0.964
low,1.5,0.962
low,1.6,0.96
low,1.7,0.958
low,1.8,0.956
low,1.9,0.954
low,2,0.952
low,2.1,0.949
low,2.2,0.947
low,2.3,0.945
low,2.4,0.943
low,2.5,0.941
low,2.6,0.939
low,2.7,0.936
low,2.8,0.934
low,2.9,0.932
low,3,0.929
low,3.1,0.927
low,3.2,0.925
low,3.3,0.922
low,3.4,0.92
low,3.5,0.918
low,3.6,0.915
low,3.7,0.913
low,3.8,0.911
low,3.9,0.909
low,4,0.907
low,4.1,0.905
low,4.2,0.903
low,4.3,0.901
low,4.4,0.899
low,4.5,0.896
low,4.6,0.894
low,4.7,0.892
low,4.8,0.89
low,4.9,0.888
low,5,0.886
low,5.1,0.883
low,5.2,0.881
low,5.3,0.879
low,5.4,0.877
low,5.5,0.875
low,5.6,0.873
low,5.7,0.87
low,5.8,0.868
low,5.9,0.866
low,6,0.864
low,6.1,0.862
low,6.2,0.86
low,6.3,0.858
low,6.4,0.856
low,6.5,0.854
low,6.6,0.851
low,6.7,0.849
low,6.8,0.847
low,6.9,0.845
low,7,0.842
low,7.1,0.84
low,7.2,0.838
low,7.3,0.835
low,7.4,0.833
low,7.5,0.831
low,7.6,0.828
low,7.7,0.826
low,7.8,0.824
low,7.9,0.822
low,8,0.82
low,8.1,0.817
low,8.2,0.815
low,8.3,0.812
low,8.4,0.81
low,8.5,0.807
low,8.6,0.805
low,8.7,0.802
low,8.8,0.8
low,8.9,0.797
low,9,0.795
low,9.1,0.792
low,9.2,0.789
low,9.3,0.787
low,9.4,0.785
low,9.5,0.782
low,9.6,0.78
low,9.7,0.778
low,9.8,0.776
low,9.9,0.774
below_avg,0.1,1.001
below_avg,0.2,1
below_avg,0.3,0.999
below_avg,0.4,0.998
below_avg,0.5,0.997
below_avg,0.6,0.997
below_avg,0.7,0.996
below_avg,0.8,0.995
below_avg,0.9,0.995
below_avg,1,0.994
below_avg,1.1,0.994
below_avg,1.2,0.993
below_avg,1.3,0.992
below_avg,1.4,0.991
below_avg,1.5,0.99
below_avg,1.6,0.989
below_avg,1.7,0.989
below_avg,1.8,0.988
below_avg,1.9,0.988
below_avg,2,0.987
below_avg,2.1,0.987
below_avg,2.2,0.986
below_avg,2.3,0.986
below_avg,2.4,0.985
below_avg,2.5,0.984
below_avg,2.6,0.984
below_avg,2.7,0.983
below_avg,2.8,0.982
below_avg,2.9,0.981
below_avg,3,0.98
below_avg,3.1,0.979
below_avg,3.2,0.978
below_avg,3.3,0.977
below_avg,3.4,0.976
below_avg,3.5,0.975
below_avg,3.6,0.974
below_avg,3.7,0.973
below_avg,3.8,0.972
below_avg,3.9,0.972
below_avg,4,0.971
below_avg,4.1,0.97
below_avg,4.2,0.969
below_avg,4.3,0.969
below_avg,4.4,0.968
below_avg,4.5,0.967
below_avg,4.6,0.966
below_avg,4.7,0.965
below_avg,4.8,0.964
below_avg,4.9,0.963
below_avg,5,0.962
below_avg,5.1,0.961
below_avg,5.2,0.96
below_avg,5.3,0.959
below_avg,5.4,0.958
below_avg,5.5,0.957
below_avg,5.6,0.956
below_avg,5.7,0.955
below_avg,5.8,0.955
below_avg,5.9,0.954
below_avg,6,0.952
below_avg,6.1,0.951
below_avg,6.2,0.95
below_avg,6.3,0.949
below_avg,6.4,0.948
below_avg,6.5,0.947
below_avg,6.6,0.946
below_avg,6.7,0.945
below_avg,6.8,0.944
below_avg,6.9,0.944
below_avg,7,0.943
below_avg,7.1,0.942
below_avg,7.2,0.941
below_avg,7.3,0.94
below_avg,7.4,0.939
below_avg,7.5,0.938
below_avg,7.6,0.937
below_avg,7.7,0.936
below_avg,7.8,0.934
below_avg,7.9,0.933
below_avg,8,0.932
below_avg,8.1,0.931
below_avg,8.2,0.93
below_avg,8.3,0.929
below_avg,8.4,0.928
below_avg,8.5,0.927
below_avg,8.6,0.926
below_avg,8.7,0.925
below_avg,8.8,0.924
below_avg,8.9,0.923
below_avg,9,0.922
below_avg,9.1,0.921
below_avg,9.2,0.92
below_avg,9.3,0.919
below_avg,9.4,0.918
below_avg,9.5,0.917
below_avg,9.6,0.915
below_avg,9.7,0.914
below_avg,9.8,0.913
below_avg,9.9,0.912
above_avg,0.1,1
above_avg,0.2,1
above_avg,0.3,1
above_avg,0.4,1
above_avg,0.5,1
above_avg,0.6,1
above_avg,0.7,1
above_avg,0.8,0.998
above_avg,0.9,0.998
above_avg,1,0.997
above_avg,1.1,0.997
above_avg,1.2,0.997
