date,vo2max
2018-07-22,61.0
2018-07-23,61.0
2018-07-24,62.0
2018-07-25,62.0
2018-07-26,63.0
2018-07-27,63.0
2018-07-28,63.0
2018-07-29,63.0
2018-07-30,63.0
2018-07-31,64.0
2018-08-01,64.0
2018-08-02,64.0
2018-08-03,64.0
2018-08-04,63.0
2018-08-05,63.0
2018-08-06,64.0
2018-08-07,64.0
2018-08-18,65.0
2018-08-19,64.0
2018-08-20,64.0
2018-08-21,64.0
2018-08-22,65.0
2018-08-23,65.0
2018-08-24,65.0
2018-08-25,64.0
2018-08-26,64.0
2018-08-27,64.0
2018-08-28,64.0
2018-08-29,65.0
2018-08-30,65.0
2018-08-31,65.0
2018-09-01,64.0
2018-09-02,64.0
2018-09-04,65.0
2018-09-05,65.0
2018-09-06,65.0
2018-09-07,66.0
2018-09-08,65.0
2018-09-09,66.0
2018-09-10,66.0
2018-09-11,66.0
2018-09-16,66.0
2018-09-17,66.0
2018-09-18,66.0
2018-09-19,66.0
2018-09-20,66.0
2018-09-21,66.0
2018-09-22,66.0
2018-09-23,66.0
2018-09-24,67.0
2018-09-25,65.0
2018-09-26,65.0
2018-09-27,65.0
2018-09-28,65.0
2018-09-29,65.0
2018-09-30,66.0
2018-10-01,66.0
2018-10-02,66.0
2018-10-03,66.0
2018-10-04,66.0
2018-10-05,66.0
2018-10-06,66.0
2018-10-07,66.0
2018-10-08,66.0
2018-10-13,66.0
2018-10-14,67.0
2018-10-15,67.0
2018-10-16,67.0
2018-10-17,66.0
2018-10-18,65.0
2018-10-19,66.0
2018-10-20,66.0
2018-10-21,66.0
2018-10-22,66.0
2018-10-23,66.0
2018-10-24,67.0
2018-10-25,67.0
2018-10-26,67.0
2018-10-27,68.0
2018-10-28,68.0
2018-10-29,68.0
2018-10-30,69.0
2018-10-31,69.0
2018-11-01,69.0
2018-11-02,68.0
2018-11-03,69.0
2018-11-04,68.0
2018-11-05,69.0
2018-11-06,69.0
2018-11-07,69.0
2018-11-08,69.0
2018-11-09,69.0
2018-11-10,69.0
2018-11-11,69.0
2018-11-12,70.0
2018-11-13,70.0
2018-11-14,70.0
2018-11-15,70.0
2018-11-16,70.0
2018-11-17,69.0
2018-11-18,69.0
2018-11-19,70.0
2018-11-20,70.0
2018-11-21,70.0
2018-11-22,70.0
2018-11-23,69.0
2018-11-24,69.0
2018-11-25,69.0
2018-11-26,70.0
2018-11-27,70.0
2018-11-29,71.0
2018-11-30,71.0
2018-12-01,71.0
2018-12-02,71.0
2018-12-03,72.0
2018-12-05,71.0
2018-12-06,71.0
2018-12-07,68.0
2018-12-08,68.0
2018-12-10,67.0
2018-12-11,68.0
2018-12-12,69.0
2018-12-13,70.0
2018-12-14,70.0
2018-12-15,71.0
2018-12-16,70.0
2018-12-17,69.0
2018-12-18,69.0
2018-12-20,67.0
2018-12-21,67.0
2018-12-25,67.0
2018-12-26,66.0
2018-12-28,67.0
2018-12-29,66.0
2018-12-30,67.0
2018-12-31,68.0
2019-01-01,69.0
2019-01-02,69.0
2019-01-03,68.0
2019-01-06,69.0
2019-01-07,69.0
2019-01-08,70.0
2019-02-02,70.0
2019-02-03,70.0
2019-02-04,70.0
2019-02-06,70.0
2019-02-07,71.0
2019-02-09,71.0
2019-02-10,71.0
2019-02-11,71.0
2019-02-13,71.0
2019-02-14,71.0
